_id;Year;Month;Type;Departure station;Arrival station;Average travel time;Number of expected travels;Number of cancelled trains;Number of late trains at departure;Average delay at departure of all trains;Number of late trains at arrival;Average delay at arrival of all trains;Comment on delay at arrival;Number of late trains > 15min;Average delay of late trains > 15min;Number of late trains > 30min;Number of late trains > 60min;Percentage of late trains due to external causes;Percentage of late trains due to infrastructure;Percentage of late trains due to traffic management;Percentage of late trains due to rolling stock;Percentage of late trains due to station management and reuse of material;Percentage of late trains due to passenger traffic
2021_05_PARIS_LYON_NICE_VILLE;2021;5;National;PARIS LYON;NICE VILLE;355;223;16;16;1.04210950080515;20;5.62463768115942;;20;58.5491666666667;14;7;55.00000000000001;20.0;5.0;5.0;5.0;10.0
2021_05_PARIS_MONTPARNASSE_ANGOULEME;2021;5;National;PARIS MONTPARNASSE;ANGOULEME;133;250;22;21;0.38062865497076;10;0.9706140350877192;;6;32.4972222222222;5;0;20.0;10.0;20.0;10.0;30.0;10.0
2021_05_PARIS_MONTPARNASSE_BREST;2021;5;National;PARIS MONTPARNASSE;BREST;231;226;16;13;-0.032936507936508;13;2.13571428571429;;13;28.3076923076923;4;0;38.4615384615385;30.7692307692308;7.69230769230769;0.0;0.0;23.0769230769231
2021_05_PARIS_MONTPARNASSE_ST_MALO;2021;5;National;PARIS MONTPARNASSE;ST MALO;163;88;6;3;-0.16849593495935;7;2.26463414634146;;5;38.7033333333333;3;0;28.5714285714286;14.2857142857143;14.2857142857143;28.5714285714286;0.0;14.2857142857143
2021_05_PARIS_MONTPARNASSE_TOURS;2021;5;National;PARIS MONTPARNASSE;TOURS;80;119;13;14;0.208333333333333;7;1.62672955974843;;3;22.5611111111111;0;0;14.2857142857143;14.2857142857143;0.0;28.5714285714286;14.2857142857143;28.5714285714286
2021_05_PARIS_NORD_ARRAS;2021;5;National;PARIS NORD;ARRAS;49;473;6;48;1.05813704496788;39;2.88618843683084;;20;36.2591666666667;11;2;28.2051282051282;25.6410256410256;7.69230769230769;0.0;15.3846153846154;23.0769230769231
2021_05_QUIMPER_PARIS_MONTPARNASSE;2021;5;National;QUIMPER;PARIS MONTPARNASSE;231;238;19;8;0.2996941896024459;13;2.86903669724771;;13;30.0602564102564;3;1;46.1538461538462;23.0769230769231;0.0;23.0769230769231;0.0;7.69230769230769
2021_05_REIMS_PARIS_EST;2021;5;National;REIMS;PARIS EST;46;208;23;46;1.2936036036036;17;1.84018018018018;;4;36.3;1;1;14.2857142857143;21.4285714285714;35.7142857142857;14.2857142857143;7.14285714285714;7.14285714285714
2021_05_RENNES_PARIS_MONTPARNASSE;2021;5;National;RENNES;PARIS MONTPARNASSE;100;690;47;228;2.63818466353678;65;3.03017736045905;;36;31.412962962963;10;3;26.1538461538462;32.3076923076923;4.615384615384619;16.9230769230769;1.5384615384615397;18.4615384615385
2021_05_ST_MALO_PARIS_MONTPARNASSE;2021;5;National;ST MALO;PARIS MONTPARNASSE;161;80;3;3;-0.0041666666666667;5;1.40635964912281;;2;21.9583333333333;0;0;40.0;20.0;0.0;0.0;0.0;40.0
2021_05_VANNES_PARIS_MONTPARNASSE;2021;5;National;VANNES;PARIS MONTPARNASSE;162;256;21;84;1.59921652421652;20;2.82400284900285;;14;29.2345238095238;3;1;45.0;30.0;0.0;15.0;0.0;10.0
2021_05_PARIS_LYON_BARCELONA;2021;5;International;PARIS LYON;BARCELONA;402;31;0;3;1.20591397849462;0;0.0;;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
2021_05_PARIS_LYON_ITALIE;2021;5;International;PARIS LYON;ITALIE;425;62;0;4;1.04354838709677;4;0.596774193548387;;4;30.125;2;0;0.0;0.0;0.0;50.0;50.0;0.0
2021_05_PARIS_LYON_LAUSANNE;2021;5;International;PARIS LYON;LAUSANNE;224;87;5;3;0.390243902439024;5;4.50121951219512;;5;26.083333333333304;1;0;0.0;40.0;0.0;20.0;20.0;20.0
2021_05_ANGOULEME_PARIS_MONTPARNASSE;2021;5;National;ANGOULEME;PARIS MONTPARNASSE;128;254;17;54;1.45759493670886;20;3.57151898734177;;14;46.527380952381;8;5;30.0;20.0;5.0;25.0;0.0;20.0
